LGA,EV_PROPORTION
FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINCORPO,0.0
BULOKE SHIRE,0.0006
WEST WIMMERA SHIRE,0.0008
HINDMARSH SHIRE,0.0008
SWAN HILL RURAL CITY,0.0012
YARRIAMBIACK SHIRE,0.0013
GANNAWARRA SHIRE,0.0015
CORANGAMITE SHIRE,0.002
LODDON SHIRE,0.0023
GLENELG SHIRE,0.0023
MOYNE SHIRE,0.0024
SOUTHERN GRAMPIANS SHIRE,0.0025
TOWONG SHIRE,0.0025
NORTHERN GRAMPIANS SHIRE,0.0026
ARARAT RURAL CITY,0.0026
MOIRA SHIRE,0.0027
CAMPASPE SHIRE,0.0029
PYRENEES SHIRE,0.0029
MILDURA RURAL CITY,0.003
EAST GIPPSLAND SHIRE,0.0033
CENTRAL GOLDFIELDS SHIRE,0.0036
WELLINGTON SHIRE,0.0038
BENALLA RURAL CITY,0.0039
COLAC OTWAY SHIRE,0.004
MANSFIELD SHIRE,0.004
GOLDEN PLAINS SHIRE,0.004
HORSHAM RURAL CITY,0.0042
WANGARATTA RURAL CITY,0.0043
GREATER SHEPPARTON CITY,0.0045
SOUTH GIPPSLAND SHIRE,0.0045
STRATHBOGIE SHIRE,0.0045
MURRINDINDI SHIRE,0.0045
FALLS CREEK ALPINE RESORT (UNINCORPORATED),0.0048
BAW BAW SHIRE,0.0052
LATROBE CITY,0.0055
INDIGO SHIRE,0.0056
WODONGA CITY,0.0059
MITCHELL SHIRE,0.006
ALPINE SHIRE,0.0061
MOORABOOL SHIRE,0.0063
MOUNT HOTHAM ALPINE RESORT (UNINCORPORATED),0.0064
GREATER BENDIGO CITY,0.0074
MACEDON RANGES SHIRE,0.0074
BASS COAST SHIRE,0.0074
MOUNT ALEXANDER SHIRE,0.0082
HEPBURN SHIRE,0.0082
CARDINIA SHIRE,0.0085
WARRNAMBOOL CITY,0.0088
BALLARAT CITY,0.0091
YARRA RANGES SHIRE,0.0096
FRANKSTON CITY,0.0101
SURF COAST SHIRE,0.0105
GREATER GEELONG CITY,0.0108
HUME CITY,0.0117
MELTON CITY,0.0121
MORNINGTON PENINSULA SHIRE,0.0131
NILLUMBIK SHIRE,0.0132
BRIMBANK CITY,0.0138
CASEY CITY,0.0142
KNOX CITY,0.0144
HOBSONS BAY CITY,0.0145
QUEENSCLIFFE BOROUGH,0.015
WYNDHAM CITY,0.0151
KINGSTON CITY,0.0155
MAROONDAH CITY,0.0163
MOONEE VALLEY CITY,0.0164
BANYULE CITY,0.0164
WHITTLESEA CITY,0.0165
GREATER DANDENONG CITY,0.0169
MERRI-BEK CITY,0.0172
MANNINGHAM CITY,0.0178
MARIBYRNONG CITY,0.0178
DAREBIN CITY,0.0198
PORT PHILLIP CITY,0.0199
WHITEHORSE CITY,0.0205
BAYSIDE CITY,0.0209
MONASH CITY,0.0211
GLEN EIRA CITY,0.0211
BOROONDARA CITY,0.024
YARRA CITY,0.0241
STONNINGTON CITY,0.0249
MELBOURNE CITY,0.0255
