LGA,EV_COUNT
FRENCH-ELIZABETH-SANDSTONE ISLANDS (UNINCORPO,0.0
BULOKE SHIRE,4.0
WEST WIMMERA SHIRE,4.0
HINDMARSH SHIRE,3.0
SWAN HILL RURAL CITY,12.0
YARRIAMBIACK SHIRE,8.0
GANNAWARRA SHIRE,9.0
CORANGAMITE SHIRE,19.0
GLENELG SHIRE,17.0
LODDON SHIRE,22.0
MOYNE SHIRE,34.0
SOUTHERN GRAMPIANS SHIRE,20.0
TOWONG SHIRE,14.0
NORTHERN GRAMPIANS SHIRE,16.0
ARARAT RURAL CITY,14.0
MOIRA SHIRE,40.0
CAMPASPE SHIRE,47.0
PYRENEES SHIRE,21.0
MILDURA RURAL CITY,44.0
EAST GIPPSLAND SHIRE,63.0
CENTRAL GOLDFIELDS SHIRE,15.0
WELLINGTON SHIRE,72.0
BENALLA RURAL CITY,26.0
COLAC OTWAY SHIRE,39.0
MANSFIELD SHIRE,25.0
GOLDEN PLAINS SHIRE,42.0
HORSHAM RURAL CITY,22.0
WANGARATTA RURAL CITY,41.0
GREATER SHEPPARTON CITY,76.0
SOUTH GIPPSLAND SHIRE,73.0
STRATHBOGIE SHIRE,32.0
MURRINDINDI SHIRE,47.0
FALLS CREEK ALPINE RESORT (UNINCORPORATED),0.0
BAW BAW SHIRE,102.0
LATROBE CITY,56.0
INDIGO SHIRE,49.0
WODONGA CITY,34.0
MITCHELL SHIRE,77.0
ALPINE SHIRE,101.0
MOORABOOL SHIRE,58.0
MOUNT HOTHAM ALPINE RESORT (UNINCORPORATED),0.0
GREATER BENDIGO CITY,125.0
MACEDON RANGES SHIRE,120.0
BASS COAST SHIRE,92.0
MOUNT ALEXANDER SHIRE,71.0
HEPBURN SHIRE,60.0
CARDINIA SHIRE,192.0
WARRNAMBOOL CITY,33.0
BALLARAT CITY,125.0
YARRA RANGES SHIRE,350.0
FRANKSTON CITY,144.0
SURF COAST SHIRE,146.0
GREATER GEELONG CITY,381.0
HUME CITY,266.0
MELTON CITY,208.0
MORNINGTON PENINSULA SHIRE,474.0
NILLUMBIK SHIRE,198.0
BRIMBANK CITY,249.0
CASEY CITY,382.0
KNOX CITY,230.0
HOBSONS BAY CITY,172.0
QUEENSCLIFFE BOROUGH,4.0
WYNDHAM CITY,230.0
KINGSTON CITY,306.0
MAROONDAH CITY,168.0
MOONEE VALLEY CITY,212.0
BANYULE CITY,241.0
WHITTLESEA CITY,355.0
GREATER DANDENONG CITY,252.0
MERRI-BEK CITY,283.0
MANNINGHAM CITY,294.0
MARIBYRNONG CITY,169.0
DAREBIN CITY,266.0
PORT PHILLIP CITY,250.0
WHITEHORSE CITY,363.0
BAYSIDE CITY,265.0
MONASH CITY,377.0
GLEN EIRA CITY,292.0
BOROONDARA CITY,462.0
YARRA CITY,291.0
STONNINGTON CITY,298.0
MELBOURNE CITY,527.0
