LGA,MEAN_DISTANCE
Melton Shire,4.12
Frankston City,13.87
Maribyrnong City,7.51
Mornington Peninsula Shire,8.85
Wyndham City,7.51
Monash City,8.42
Yarra Ranges Shire,6.33
Greater Dandenong City,6.67
Casey City,8.92
Kingston City,7.99
Whittlesea City,8.85
Hobsons Bay City,11.37
Yarra City,7.12
Nillumbik Shire,11.3
Knox City,9.12
Melbourne City,7.98
Port Phillip City,9.85
Greater Geelong City,12.78
Manningham City,10.46
Boroondara City,12.3
Whitehorse City,14.34
Darebin City,9.64
Brimbank City,10.69
Bayside City,15.45
Stonnington City,8.83
Cardinia Shire,8.85
Glen Eira City,11.77
Maroondah City,14.52
Moreland City,13.34
Moonee Valley City,16.76
Hume City,20.2
Banyule City,17.54
