LGA,MEAN_DISTANCE
YARRA CITY,13.76
MELBOURNE CITY,16.04
MARIBYRNONG CITY,18.63
STONNINGTON CITY,23.28
PORT PHILLIP CITY,19.49
MOONEE VALLEY CITY,25.92
DAREBIN CITY,18.65
BOROONDARA CITY,17.42
MERRI-BEK CITY,21.18
GLEN EIRA CITY,24.17
BAYSIDE CITY,24.98
HOBSONS BAY CITY,27.99
MANNINGHAM CITY,28.28
BANYULE CITY,30.32
WHITEHORSE CITY,30.17
BRIMBANK CITY,35.98
MONASH CITY,33.14
WHITTLESEA CITY,36.6
KINGSTON CITY,39.88
NILLUMBIK SHIRE,39.97
KNOX CITY,50.82
HUME CITY,49.7
GREATER DANDENONG CITY,40.95
MELTON CITY,57.82
MAROONDAH CITY,46.32
FRANKSTON CITY,58.97
WYNDHAM CITY,53.39
YARRA RANGES SHIRE,57.88
CASEY CITY,67.09
MORNINGTON PENINSULA SHIRE,63.69
CARDINIA SHIRE,92.37
GREATER GEELONG CITY,127.88
