LGA,MEAN_DISTANCE
MELBOURNE CITY,25.03
STONNINGTON CITY,28.99
MARIBYRNONG CITY,27.31
GLEN EIRA CITY,26.17
MOONEE VALLEY CITY,29.14
BOROONDARA CITY,27.84
YARRA CITY,31.58
PORT PHILLIP CITY,34.02
DAREBIN CITY,26.47
BAYSIDE CITY,28.76
GREATER DANDENONG CITY,29.8
WHITEHORSE CITY,27.73
MERRI-BEK CITY,29.89
GREATER GEELONG CITY,39.82
MONASH CITY,32.17
KINGSTON CITY,30.9
BRIMBANK CITY,31.65
BANYULE CITY,34.25
HOBSONS BAY CITY,37.03
KNOX CITY,36.41
MANNINGHAM CITY,34.31
MAROONDAH CITY,35.33
WYNDHAM CITY,39.63
WHITTLESEA CITY,38.91
FRANKSTON CITY,46.95
NILLUMBIK SHIRE,39.41
CASEY CITY,41.28
MORNINGTON PENINSULA SHIRE,49.02
HUME CITY,40.93
YARRA RANGES SHIRE,46.19
MELTON CITY,45.9
CARDINIA SHIRE,58.31
