LGA,MEDIAN_DISTANCE
Melton Shire,2.92
Frankston City,3.16
Maribyrnong City,3.66
Mornington Peninsula Shire,4.35
Wyndham City,4.5
Monash City,4.51
Yarra Ranges Shire,4.51
Greater Dandenong City,4.53
Casey City,4.72
Kingston City,4.78
Whittlesea City,4.9
Hobsons Bay City,5.5
Yarra City,5.87
Nillumbik Shire,6.01
Knox City,6.16
Melbourne City,6.95
Port Phillip City,7.14
Greater Geelong City,7.18
Manningham City,7.49
Boroondara City,7.56
Whitehorse City,7.57
Darebin City,7.62
Brimbank City,7.64
Bayside City,7.83
Stonnington City,8.1
Cardinia Shire,9.46
Glen Eira City,9.66
Maroondah City,9.68
Moreland City,10.98
Moonee Valley City,13.02
Hume City,14.34
Banyule City,17.93
