LGA,MEDIAN_DISTANCE
YARRA CITY,8.35
MELBOURNE CITY,10.04
MARIBYRNONG CITY,15.38
STONNINGTON CITY,15.42
PORT PHILLIP CITY,15.7
MOONEE VALLEY CITY,16.66
DAREBIN CITY,17.02
BOROONDARA CITY,17.19
MERRI-BEK CITY,20.4
GLEN EIRA CITY,24.0
BAYSIDE CITY,24.82
HOBSONS BAY CITY,25.85
MANNINGHAM CITY,26.01
BANYULE CITY,28.98
WHITEHORSE CITY,31.44
BRIMBANK CITY,32.59
MONASH CITY,33.97
WHITTLESEA CITY,37.24
KINGSTON CITY,42.04
NILLUMBIK SHIRE,43.2
KNOX CITY,44.47
HUME CITY,47.76
GREATER DANDENONG CITY,48.1
MELTON CITY,49.96
MAROONDAH CITY,50.78
FRANKSTON CITY,52.86
WYNDHAM CITY,55.6
YARRA RANGES SHIRE,70.61
CASEY CITY,75.5
MORNINGTON PENINSULA SHIRE,78.54
CARDINIA SHIRE,105.0
GREATER GEELONG CITY,144.73
