LGA,MEDIAN_DISTANCE
MELBOURNE CITY,15.04
STONNINGTON CITY,15.62
MARIBYRNONG CITY,16.96
GLEN EIRA CITY,17.19
MOONEE VALLEY CITY,17.58
BOROONDARA CITY,17.64
YARRA CITY,17.82
PORT PHILLIP CITY,17.84
DAREBIN CITY,17.94
BAYSIDE CITY,18.94
GREATER DANDENONG CITY,19.3
WHITEHORSE CITY,19.52
MERRI-BEK CITY,19.58
GREATER GEELONG CITY,19.83
MONASH CITY,20.76
KINGSTON CITY,22.56
BRIMBANK CITY,23.03
BANYULE CITY,23.17
HOBSONS BAY CITY,24.64
KNOX CITY,25.66
MANNINGHAM CITY,26.28
MAROONDAH CITY,26.72
WYNDHAM CITY,27.35
WHITTLESEA CITY,28.8
FRANKSTON CITY,29.76
NILLUMBIK SHIRE,30.26
CASEY CITY,30.61
MORNINGTON PENINSULA SHIRE,30.79
HUME CITY,31.14
YARRA RANGES SHIRE,33.45
MELTON CITY,33.58
CARDINIA SHIRE,45.88
