LGA,SAMPLE_STDDEV
MELTON CITY,3.89
FRANKSTON CITY,24.89
MARIBYRNONG CITY,7.59
MORNINGTON PENINSULA SHIRE,8.72
WYNDHAM CITY,6.32
YARRA RANGES SHIRE,6.33
MONASH CITY,10.64
GREATER DANDENONG CITY,6.79
CASEY CITY,11.45
KINGSTON CITY,10.55
WHITTLESEA CITY,9.93
HOBSONS BAY CITY,11.88
YARRA CITY,5.83
NILLUMBIK SHIRE,11.53
KNOX CITY,9.5
MELBOURNE CITY,6.17
PORT PHILLIP CITY,13.77
GREATER GEELONG CITY,12.82
MANNINGHAM CITY,10.7
BOROONDARA CITY,13.37
WHITEHORSE CITY,18.31
DAREBIN CITY,7.59
BRIMBANK CITY,17.42
BAYSIDE CITY,14.95
STONNINGTON CITY,7.19
CARDINIA SHIRE,6.96
GLEN EIRA CITY,11.37
MAROONDAH CITY,16.94
MERRI-BEK CITY,13.68
MOONEE VALLEY CITY,13.92
HUME CITY,24.83
BANYULE CITY,13.7
