LGA,SAMPLE_STDDEV
YARRA CITY,16.75
MELBOURNE CITY,17.97
MARIBYRNONG CITY,24.16
STONNINGTON CITY,41.45
PORT PHILLIP CITY,18.94
MOONEE VALLEY CITY,50.99
DAREBIN CITY,13.93
BOROONDARA CITY,10.63
MERRI-BEK CITY,16.77
GLEN EIRA CITY,22.33
BAYSIDE CITY,14.08
HOBSONS BAY CITY,12.64
MANNINGHAM CITY,14.95
BANYULE CITY,19.34
WHITEHORSE CITY,20.44
BRIMBANK CITY,16.75
MONASH CITY,21.24
WHITTLESEA CITY,16.83
KINGSTON CITY,19.29
NILLUMBIK SHIRE,16.12
KNOX CITY,47.07
HUME CITY,25.15
GREATER DANDENONG CITY,18.75
MELTON CITY,27.24
MAROONDAH CITY,16.14
FRANKSTON CITY,40.31
WYNDHAM CITY,18.49
YARRA RANGES SHIRE,27.96
CASEY CITY,41.64
MORNINGTON PENINSULA SHIRE,34.16
CARDINIA SHIRE,40.02
GREATER GEELONG CITY,41.71
