LGA,SAMPLE_STDDEV
MELBOURNE CITY,32.95
STONNINGTON CITY,45.98
MARIBYRNONG CITY,44.22
GLEN EIRA CITY,31.49
MOONEE VALLEY CITY,37.09
BOROONDARA CITY,37.47
YARRA CITY,44.57
PORT PHILLIP CITY,50.69
DAREBIN CITY,31.51
BAYSIDE CITY,37.34
GREATER DANDENONG CITY,46.4
WHITEHORSE CITY,28.48
MERRI-BEK CITY,38.88
GREATER GEELONG CITY,55.47
MONASH CITY,43.61
KINGSTON CITY,33.01
BRIMBANK CITY,34.2
BANYULE CITY,43.38
HOBSONS BAY CITY,45.95
KNOX CITY,43.48
MANNINGHAM CITY,36.49
MAROONDAH CITY,36.84
WYNDHAM CITY,41.56
WHITTLESEA CITY,46.36
FRANKSTON CITY,54.9
NILLUMBIK SHIRE,54.6
CASEY CITY,45.57
MORNINGTON PENINSULA SHIRE,53.46
HUME CITY,45.31
YARRA RANGES SHIRE,45.75
MELTON CITY,50.81
CARDINIA SHIRE,57.06
