OFFICIALNM,MEDIAN_DISTANCE,EV_PROPORTION
YARRA CITY,8.35,0.0241
MELBOURNE CITY,10.04,0.0255
MARIBYRNONG CITY,15.38,0.0178
STONNINGTON CITY,15.42,0.0249
PORT PHILLIP CITY,15.7,0.0199
MOONEE VALLEY CITY,16.66,0.0164
DAREBIN CITY,17.02,0.0198
BOROONDARA CITY,17.19,0.024
MERRI-BEK CITY,20.4,0.0172
GLEN EIRA CITY,24,0.0211
BAYSIDE CITY,24.82,0.0209
HOBSONS BAY CITY,25.85,0.0145
MANNINGHAM CITY,26.01,0.0178
BANYULE CITY,28.98,0.0164
WHITEHORSE CITY,31.44,0.0205
BRIMBANK CITY,32.59,0.0138
MONASH CITY,33.97,0.0211
WHITTLESEA CITY,37.24,0.0165
KINGSTON CITY,42.04,0.0155
NILLUMBIK SHIRE,43.2,0.0132
KNOX CITY,44.47,0.0144
HUME CITY,47.76,0.0117
GREATER DANDENONG CITY,48.1,0.0169
MELTON CITY,49.96,0.0121
MAROONDAH CITY,50.78,0.0163
FRANKSTON CITY,52.86,0.0101
WYNDHAM CITY,55.6,0.0151
YARRA RANGES SHIRE,70.61,0.0096
CASEY CITY,75.5,0.0142
MORNINGTON PENINSULA SHIRE,78.54,0.0131
CARDINIA SHIRE,105,0.0085
GREATER GEELONG CITY,144.73,0.0108
