OFFICIALNM,MEDIAN_DISTANCE,EV_PROPORTION
MELBOURNE CITY,15.04,0.0255
STONNINGTON CITY,15.62,0.0249
MARIBYRNONG CITY,16.96,0.0178
GLEN EIRA CITY,17.19,0.0211
MOONEE VALLEY CITY,17.58,0.0164
BOROONDARA CITY,17.64,0.024
YARRA CITY,17.82,0.0241
PORT PHILLIP CITY,17.84,0.0199
DAREBIN CITY,17.94,0.0198
BAYSIDE CITY,18.94,0.0209
GREATER DANDENONG CITY,19.3,0.0169
WHITEHORSE CITY,19.52,0.0205
MERRI-BEK CITY,19.58,0.0172
GREATER GEELONG CITY,19.83,0.0108
MONASH CITY,20.76,0.0211
KINGSTON CITY,22.56,0.0155
BRIMBANK CITY,23.03,0.0138
BANYULE CITY,23.17,0.0164
HOBSONS BAY CITY,24.64,0.0145
KNOX CITY,25.66,0.0144
MANNINGHAM CITY,26.28,0.0178
MAROONDAH CITY,26.72,0.0163
WYNDHAM CITY,27.35,0.0151
WHITTLESEA CITY,28.8,0.0165
FRANKSTON CITY,29.76,0.0101
NILLUMBIK SHIRE,30.26,0.0132
CASEY CITY,30.61,0.0142
MORNINGTON PENINSULA SHIRE,30.79,0.0131
HUME CITY,31.14,0.0117
YARRA RANGES SHIRE,33.45,0.0096
MELTON CITY,33.58,0.0121
CARDINIA SHIRE,45.88,0.0085
