LGA,MEDIAN_INCOME
ALPINE,37700
YARRIAMBIACK,29900
YARRA RANGES,46800
WYNDHAM,46800
YARRA,71500
WODONGA,46800
WHITTLESEA,37700
WHITEHORSE,37700
WEST WIMMERA,37700
WELLINGTON,37700
WARRNAMBOOL,37700
WANGARATTA,37700
TOWONG,37700
SWAN HILL,37700
SURF COAST,46800
STRATHBOGIE,37700
STONNINGTON,71500
SOUTHERN GRAMPIANS,37700
SOUTH GIPPSLAND,37700
QUEENSCLIFFE,46800
PYRENEES,29900
PORT PHILLIP,71500
NORTHERN GRAMPIANS,37700
NILLUMBIK,46800
MURRINDINDI,37700
MOYNE,37700
MOUNT ALEXANDER,37700
MORNINGTON PENINSULA,37700
MORELAND,46800
MOORABOOL,46800
MOONEE VALLEY,46800
MONASH,37700
MOIRA,29900
MITCHELL,37700
MELTON,37700
MILDURA,37700
MELBOURNE,46800
MAROONDAH,46800
MARIBYRNONG,46800
MANSFIELD,37700
MANNINGHAM,37700
MACEDON RANGES,46800
LODDON,29900
LATROBE (VIC.),37700
KNOX,46800
KINGSTON (VIC.),46800
INDIGO,37700
HUME,37700
HOBSONS BAY,46800
HORSHAM,37700
HINDMARSH,37700
HEPBURN,37700
GREATER SHEPPARTON,37700
GREATER GEELONG,37700
GREATER DANDENONG,29900
GREATER BENDIGO,37700
GOLDEN PLAINS,37700
GLENELG,29900
GLEN EIRA,58500
GANNAWARRA,29900
FRANKSTON,46800
EAST GIPPSLAND,29900
DAREBIN,46800
CORANGAMITE,37700
COLAC OTWAY,37700
CENTRAL GOLDFIELDS,29900
CASEY,37700
CARDINIA,46800
CAMPASPE,37700
BULOKE,29900
BRIMBANK,29900
BOROONDARA,58500
BENALLA,37700
BAYSIDE,58500
BAW BAW,37700
BASS COAST,29900
BANYULE,46800
BALLARAT,37700
ARARAT,37700
